eprew,rc,rg,rl,ro,ry
-0.39990466833114624,-0.15000000596046448,-0.01618729718029499,-0.2045808732509613,0.0,-0.029136553406715393
-0.4471482038497925,-0.15000000596046448,-0.011249237693846226,-0.25045233964920044,0.0,-0.035446587949991226
-0.4501931667327881,-0.15000000596046448,-0.006175590213388205,-0.2572110593318939,0.0,-0.03680650517344475
-0.4573148787021637,-0.15000000596046448,-0.012963363900780678,-0.25617915391921997,0.0,-0.03817230835556984
-0.48041975498199463,-0.15000000596046448,-0.015170175582170486,-0.2733221650123596,0.0,-0.04192737862467766
-0.48887401819229126,-0.15000000596046448,-0.01860193721950054,-0.27651309967041016,0.0,-0.043758951127529144
-0.4991905391216278,-0.148499995470047,-0.021638372913002968,-0.2824004888534546,0.0,-0.04665163904428482
-0.5114433765411377,-0.148499995470047,-0.028369849547743797,-0.2855379581451416,0.0,-0.049035508185625076
-0.5299981832504272,-0.148499995470047,-0.0344441682100296,-0.2947791814804077,0.0,-0.052274830639362335
-0.5388211607933044,-0.148499995470047,-0.03574909269809723,-0.30082640051841736,0.0,-0.05374564602971077
-0.5406737327575684,-0.148499995470047,-0.0359233021736145,-0.3021268844604492,0.0,-0.05412355065345764
-0.5527591109275818,-0.14249999821186066,-0.0389510877430439,-0.31359148025512695,0.0,-0.05771653726696968
-0.5793501138687134,-0.1274999976158142,-0.04534832015633583,-0.34096792340278625,0.0,-0.06553389877080917
-0.602919340133667,-0.11249999701976776,-0.0533326156437397,-0.363852322101593,0.0,-0.07323441654443741
-0.6328243613243103,-0.09000000357627869,-0.0618085041642189,-0.39681684970855713,0.0,-0.08419901132583618
-0.6546843647956848,-0.07050000131130219,-0.06461694836616516,-0.4260832965373993,0.0,-0.09348412603139877
-0.662665069103241,-0.06300000101327896,-0.0646890178322792,-0.4379618167877197,0.0,-0.09701426327228546
-0.663999080657959,-0.061500001698732376,-0.06678786128759384,-0.4380533695220947,0.0,-0.09765783697366714
-0.6650482416152954,-0.05700000002980232,-0.0656663328409195,-0.44288161396980286,0.0,-0.09950029104948044
-0.6638779044151306,-0.041999999433755875,-0.059765640646219254,-0.45653873682022095,0.0,-0.10557354241609573
-0.6533837914466858,-0.025499999523162842,-0.049711160361766815,-0.4667041599750519,0.0,-0.11146845668554306
-0.6296563744544983,-0.0044999998062849045,-0.0329580120742321,-0.47457781434059143,0.0,-0.117620550096035
-0.6004906892776489,-0.001500000013038516,-0.014669198542833328,-0.46577179431915283,0.0,-0.11854969710111618
-0.5783222317695618,-0.001500000013038516,-0.0011785971000790596,-0.45732447504997253,0.0,-0.11831916868686676
-0.5658704042434692,0.0,0.006671873386949301,-0.454087495803833,0.0,-0.11845481395721436
-0.5625301599502563,0.0,0.00891812238842249,-0.4529402256011963,0.0,-0.11850809305906296
-0.5452092289924622,0.0,0.02092939242720604,-0.44739940762519836,0.0,-0.11873924732208252
-0.5181626081466675,0.0,0.04039515554904938,-0.43917661905288696,0.0,-0.11938117444515228
-0.48894789814949036,0.0,0.06109926104545593,-0.43043097853660583,0.0,-0.11961627006530762
-0.4625283181667328,0.0,0.08307687193155289,-0.4251464903354645,0.0,-0.12045875191688538
-0.44914913177490234,0.0,0.09789878875017166,-0.42497050762176514,0.0,-0.12207745760679245
-0.44384169578552246,0.0,0.10325973480939865,-0.42473655939102173,0.0,-0.12236492335796356
-0.44173404574394226,0.0,0.10547839850187302,-0.4247928857803345,0.0,-0.12241960316896439
-0.43909916281700134,0.0,0.10804662108421326,-0.4250439703464508,0.0,-0.12210184335708618
-0.4286298155784607,0.0,0.11858272552490234,-0.42499300837516785,0.0,-0.12221956998109818
-0.4160257875919342,0.0,0.13174764811992645,-0.42544084787368774,0.0,-0.1223326027393341
-0.40491175651550293,0.0,0.14400231838226318,-0.4275382161140442,0.0,-0.12137585133314133
-0.3944701850414276,0.0,0.15522794425487518,-0.42999109625816345,0.0,-0.11970701068639755
-0.39055341482162476,0.0,0.1599583923816681,-0.430508553981781,0.0,-0.12000323832035065
-0.3876279592514038,0.0,0.1628897786140442,-0.43112897872924805,0.0,-0.11938878148794174
-0.3873916566371918,0.0,0.16333796083927155,-0.4314512312412262,0.0,-0.11927836388349533
-0.38208848237991333,0.0,0.16829809546470642,-0.43190303444862366,0.0,-0.1184835135936737
-0.37641212344169617,0.0,0.17360813915729523,-0.4327850043773651,0.0,-0.11723525077104568
-0.3706335425376892,0.0,0.17759230732917786,-0.43345558643341064,0.0,-0.11477023363113403
