eprew,rc,rg,rl,ro,ry
-0.5112638473510742,-0.15000000596046448,-0.14158755540847778,-0.18733005225658417,0.0,-0.032346148043870926
-0.5325359106063843,-0.15000000596046448,-0.14722496271133423,-0.2004833072423935,0.0,-0.034827593713998795
-0.5324013233184814,-0.15000000596046448,-0.14675983786582947,-0.2006760686635971,0.0,-0.034965384751558304
-0.5614362359046936,-0.15000000596046448,-0.14974969625473022,-0.22160598635673523,0.0,-0.04008055478334427
-0.5686256885528564,-0.15000000596046448,-0.14874041080474854,-0.22821500897407532,0.0,-0.041670240461826324
-0.5714808106422424,-0.15000000596046448,-0.14541210234165192,-0.23292894661426544,0.0,-0.04313977062702179
-0.5893959403038025,-0.15000000596046448,-0.14477640390396118,-0.24697132408618927,0.0,-0.04764821007847786
-0.6083092093467712,-0.15000000596046448,-0.1451897919178009,-0.26178234815597534,0.0,-0.05133705586194992
-0.6151596307754517,-0.15000000596046448,-0.14358948171138763,-0.2684710919857025,0.0,-0.05309905856847763
-0.6241815686225891,-0.15000000596046448,-0.14230449497699738,-0.2763947546482086,0.0,-0.055482327938079834
-0.63810133934021,-0.15000000596046448,-0.1436900943517685,-0.2857075035572052,0.0,-0.05870376154780388
-0.6580634117126465,-0.15000000596046448,-0.14790990948677063,-0.297848641872406,0.0,-0.06230485439300537
-0.6639283299446106,-0.15000000596046448,-0.14747728407382965,-0.3022514879703522,0.0,-0.06419955939054489
-0.6696116924285889,-0.1469999998807907,-0.14474700391292572,-0.3108404278755188,0.0,-0.06702423840761185
-0.6721392273902893,-0.14550000429153442,-0.14415907859802246,-0.31395184993743896,0.0,-0.06852830201387405
-0.6701136231422424,-0.14249999821186066,-0.1439819037914276,-0.31325650215148926,0.0,-0.07037516683340073
-0.6747813820838928,-0.14249999821186066,-0.143832266330719,-0.3159041106700897,0.0,-0.07254497706890106
-0.6763073205947876,-0.14100000262260437,-0.1427791267633438,-0.31847313046455383,0.0,-0.07405499368906021
-0.674805760383606,-0.1379999965429306,-0.14125630259513855,-0.32024845480918884,0.0,-0.07530096918344498
-0.6704657077789307,-0.13349999487400055,-0.1387639045715332,-0.32178494334220886,0.0,-0.07641681283712387
-0.6705567240715027,-0.13199999928474426,-0.1385752111673355,-0.3230893611907959,0.0,-0.07689215242862701
-0.6631925702095032,-0.11550000309944153,-0.13319049775600433,-0.33309370279312134,0.0,-0.08140835165977478
-0.6586546301841736,-0.09749999642372131,-0.12636804580688477,-0.34761980175971985,0.0,-0.08716677874326706
-0.650462806224823,-0.08399999886751175,-0.11886097490787506,-0.35643839836120605,0.0,-0.09116341918706894
-0.646122395992279,-0.07349999994039536,-0.11372922360897064,-0.3642990291118622,0.0,-0.09459410607814789
-0.6395631432533264,-0.06300000101327896,-0.10703427344560623,-0.3717406690120697,0.0,-0.09778819233179092
-0.6319297552108765,-0.0494999997317791,-0.09795819967985153,-0.3826322853565216,0.0,-0.10183922946453094
-0.6254129409790039,-0.04349999874830246,-0.09197963774204254,-0.386100172996521,0.0,-0.10383312404155731
-0.6169466376304626,-0.035999998450279236,-0.08469627797603607,-0.39043983817100525,0.0,-0.1058104857802391
-0.6003218293190002,-0.02250000089406967,-0.07136527448892593,-0.3974769711494446,0.0,-0.10897957533597946
-0.5768622159957886,-0.006000000052154064,-0.05047861859202385,-0.40642857551574707,0.0,-0.1139550432562828
-0.5542948842048645,0.0,-0.031524743884801865,-0.4065419137477875,0.0,-0.11622823774814606
-0.5386170148849487,0.0,-0.019547393545508385,-0.40310972929000854,0.0,-0.11595986783504486
-0.5283045172691345,0.0,-0.012074229307472706,-0.40014785528182983,0.0,-0.11608240753412247
-0.5167510509490967,0.0,-0.0032423115335404873,-0.3974522352218628,0.0,-0.11605650186538696
-0.5146681666374207,0.0,-0.001652949838899076,-0.3970729410648346,0.0,-0.11594226956367493
-0.4948095977306366,0.0,0.014148198068141937,-0.39298006892204285,0.0,-0.1159776896238327
-0.46961355209350586,0.0,0.03487290441989899,-0.3888598680496216,0.0,-0.11562655866146088
-0.45473408699035645,0.0,0.04649004712700844,-0.3856406509876251,0.0,-0.11558346450328827
-0.44396018981933594,0.0,0.05475551262497902,-0.38350367546081543,0.0,-0.11521197855472565
-0.4358361065387726,0.0,0.060322172939777374,-0.38128530979156494,0.0,-0.11487293988466263
-0.425575315952301,0.0,0.06843957304954529,-0.3793030381202698,0.0,-0.11471184343099594
-0.4194304347038269,0.0,0.07316198199987411,-0.37812355160713196,0.0,-0.11446886509656906
-0.41439852118492126,0.0,0.07737788558006287,-0.3771762251853943,0.0,-0.11460015177726746
-0.4042859971523285,0.0,0.08524584770202637,-0.3750061094760895,0.0,-0.11452573537826538
-0.3913351595401764,0.0,0.09607720375061035,-0.3720625638961792,0.0,-0.11534981429576874
-0.3817347586154938,0.0,0.10378142446279526,-0.36934220790863037,0.0,-0.11617398262023926
-0.3768303394317627,0.0,0.1071205735206604,-0.3673516511917114,0.0,-0.11659926176071167
-0.3793932795524597,0.0,0.10665677487850189,-0.3668476343154907,0.0,-0.11920242756605148
-0.37836071848869324,0.0,0.10646551102399826,-0.3653280436992645,0.0,-0.11949823051691055
-0.37772223353385925,0.0,0.10674545913934708,-0.36509284377098083,0.0,-0.11937490105628967
-0.3667703866958618,0.0,0.11612042039632797,-0.3627019226551056,0.0,-0.12018891423940659
-0.35752102732658386,0.0,0.12349653989076614,-0.3602546155452728,0.0,-0.12076296657323837
-0.3483962118625641,0.0,0.1305122971534729,-0.3577234148979187,0.0,-0.12118508666753769
-0.34104499220848083,0.0,0.1372668445110321,-0.356428861618042,0.0,-0.12188296020030975
-0.33341115713119507,0.0,0.14379507303237915,-0.35535356402397156,0.0,-0.12185263633728027
-0.32061001658439636,0.0,0.15532219409942627,-0.3541155159473419,0.0,-0.12181667238473892
-0.3150547742843628,0.0,0.16123421490192413,-0.35361620783805847,0.0,-0.12267274409532547
-0.30808672308921814,0.0,0.16772878170013428,-0.3528992235660553,0.0,-0.12291627377271652
-0.29298341274261475,0.0,0.18161790072917938,-0.35197529196739197,0.0,-0.12262602150440216
-0.2683034837245941,0.0,0.20276609063148499,-0.35022783279418945,0.0,-0.12084169685840607
-0.2439580261707306,0.0,0.22674214839935303,-0.34950125217437744,0.0,-0.1211988776922226
-0.23045870661735535,0.0,0.23971831798553467,-0.34900978207588196,0.0,-0.12116719037294388
-0.22095215320587158,0.0,0.2493242770433426,-0.3488466739654541,0.0,-0.1214296892285347
-0.2068842053413391,0.0,0.26307761669158936,-0.3486388325691223,0.0,-0.12132295221090317
-0.20465070009231567,0.0,0.2650834918022156,-0.3484867811203003,0.0,-0.12124738097190857
-0.19067032635211945,0.0,0.2798237204551697,-0.34919029474258423,0.0,-0.12130370736122131
-0.16864530742168427,0.0,0.2998586893081665,-0.34812337160110474,0.0,-0.12038058787584305
-0.14806626737117767,0.0,0.3176662027835846,-0.34697893261909485,0.0,-0.11875350028276443
-0.14272409677505493,0.0,0.323286235332489,-0.3473794758319855,0.0,-0.11863082647323608
-0.12804774940013885,0.0,0.333979994058609,-0.3448880910873413,0.0,-0.11713961511850357
-0.1127350777387619,0.0,0.3476733863353729,-0.343982458114624,0.0,-0.11642597615718842
-0.1013522520661354,0.0,0.35485243797302246,-0.34099894762039185,0.0,-0.11520569026470184
-0.08889386057853699,0.0,0.3634146749973297,-0.3384661376476288,0.0,-0.11384236067533493
-0.05660171061754227,0.0,0.38399699330329895,-0.33069565892219543,0.0,-0.1099030077457428
-0.02585699036717415,0.0,0.4021977484226227,-0.321706622838974,0.0,-0.10634810477495193
-0.02022775076329708,0.0,0.4044820964336395,-0.31991690397262573,0.0,-0.10479293018579483
-0.0018760099774226546,0.0,0.4152684509754181,-0.3143916726112366,0.0,-0.10275273770093918
0.0022274199873209,0.0,0.41601017117500305,-0.3122832775115967,0.0,-0.10149947553873062
0.022251559421420097,0.0,0.4285513162612915,-0.3069407343864441,0.0,-0.09935899823904037
0.028589820489287376,0.0,0.43234318494796753,-0.305390864610672,0.0,-0.09836249053478241
0.03789107874035835,0.0,0.4390569031238556,-0.3036711812019348,0.0,-0.09749460965394974
0.027648430317640305,0.0,0.43711698055267334,-0.31012749671936035,0.0,-0.09934105724096298
0.0315546914935112,0.0,0.4415453374385834,-0.31083065271377563,0.0,-0.09915997087955475
0.029518509283661842,0.0,0.4398585557937622,-0.31095078587532043,0.0,-0.09938923269510269
0.010454810224473476,0.0,0.43154847621917725,-0.3186482787132263,0.0,-0.10244540125131607
0.015606430359184742,0.0,0.43401139974594116,-0.3165241479873657,0.0,-0.10188083350658417
0.025158610194921494,0.0,0.4422290027141571,-0.3155295252799988,0.0,-0.10154089331626892
0.019270669668912888,0.0,0.4408413767814636,-0.31841474771499634,0.0,-0.10315599292516708
-0.0006190399872139096,0.0,0.43249747157096863,-0.3267231285572052,0.0,-0.10639340430498123
-0.007045169826596975,0.0,0.431259423494339,-0.3301767110824585,0.0,-0.1081278920173645
-0.023067019879817963,0.0,0.42077693343162537,-0.3339938223361969,0.0,-0.10985013097524643
-0.015964649617671967,0.0,0.42695194482803345,-0.3330284059047699,0.0,-0.10988819599151611
-0.010510710068047047,0.0,0.4289821684360504,-0.3303113579750061,0.0,-0.10918150842189789
-0.0017249799566343427,0.0,0.43225955963134766,-0.32631027698516846,0.0,-0.1076742485165596
-0.0027152199763804674,0.0,0.4355752766132355,-0.32934799790382385,0.0,-0.10894251614809036
-0.005642150063067675,0.0,0.43233537673950195,-0.3289130628108978,0.0,-0.10906446725130081
-0.020747780799865723,0.0,0.4240841567516327,-0.33395856618881226,0.0,-0.11087337136268616
-0.03476560860872269,0.0,0.41671401262283325,-0.33931222558021545,0.0,-0.11216739565134048
-0.03355953097343445,0.0,0.41970115900039673,-0.3399761915206909,0.0,-0.11328449845314026
-0.026785969734191895,0.0,0.42115020751953125,-0.33591827750205994,0.0,-0.11201789975166321
-0.019653139635920525,0.0,0.4242978096008301,-0.33320552110671997,0.0,-0.11074542999267578
-0.021801749244332314,0.0,0.4219757914543152,-0.3334406018257141,0.0,-0.11033695191144943
-0.01511101983487606,0.0,0.42749372124671936,-0.33269253373146057,0.0,-0.1099121943116188
-0.03222611919045448,0.0,0.41809239983558655,-0.3371391296386719,0.0,-0.11317937076091766
-0.04035346955060959,0.0,0.41392242908477783,-0.3399847149848938,0.0,-0.11429118365049362
-0.04696204885840416,0.0,0.4106084108352661,-0.3430311977863312,0.0,-0.1145392432808876
-0.026893550530076027,0.0,0.42094501852989197,-0.33659979701042175,0.0,-0.1112387478351593
-0.020434949547052383,0.0,0.4219539761543274,-0.3327838182449341,0.0,-0.1096050888299942
-0.018056249246001244,0.0,0.42148900032043457,-0.33162325620651245,0.0,-0.10792198777198792
-0.00821731984615326,0.0,0.42594948410987854,-0.3276154696941376,0.0,-0.10655134171247482
-0.014007040299475193,0.0,0.4259840250015259,-0.3300018608570099,0.0,-0.10998917371034622
-0.009157880209386349,0.0,0.4277278482913971,-0.3277827501296997,0.0,-0.10910296440124512
-0.007707959972321987,0.0,0.4313766658306122,-0.3270195424556732,0.0,-0.11206508427858353
-0.012353089638054371,0.0,0.42619070410728455,-0.3286533057689667,0.0,-0.10989048331975937
-0.022879069671034813,0.0,0.4212878942489624,-0.3327980637550354,0.0,-0.11136892437934875
-0.033221058547496796,0.0,0.41370725631713867,-0.3353005647659302,0.0,-0.11162777990102768
-0.02113563008606434,0.0,0.4227629005908966,-0.33206960558891296,0.0,-0.11182895302772522
-0.02288788929581642,0.0,0.42053425312042236,-0.33135682344436646,0.0,-0.11206536740064621
-0.019787080585956573,0.0,0.4239007830619812,-0.3316914141178131,0.0,-0.11199646443128586
-0.017258379608392715,0.0,0.4263879358768463,-0.3296084702014923,0.0,-0.11403786391019821
-0.035155899822711945,0.0,0.4147075116634369,-0.3338392376899719,0.0,-0.1160242110490799
-0.03466112166643143,0.0,0.41299572587013245,-0.33381983637809753,0.0,-0.11383704096078873
-0.04755866155028343,0.0,0.4080265462398529,-0.33937281370162964,0.0,-0.11621244251728058
-0.05047314986586571,0.0,0.40278398990631104,-0.34057387709617615,0.0,-0.11268328875303268
-0.026377109810709953,0.0,0.41802850365638733,-0.3325027823448181,0.0,-0.1119028851389885
-0.024918200448155403,0.0,0.41795259714126587,-0.33093950152397156,0.0,-0.11193133890628815
-0.02334013022482395,0.0,0.41761788725852966,-0.32898813486099243,0.0,-0.11196989566087723
-0.030004169791936874,0.0,0.41240692138671875,-0.3296392560005188,0.0,-0.11277186870574951
-0.025305669754743576,0.0,0.4116649329662323,-0.32512763142585754,0.0,-0.11184298247098923
-0.03899339959025383,0.0,0.4013075828552246,-0.32733556628227234,0.0,-0.11296543478965759
-0.03989148139953613,0.0,0.4014257490634918,-0.32783424854278564,0.0,-0.1134829968214035
-0.020250700414180756,0.0,0.4146844744682312,-0.32473787665367126,0.0,-0.1101972758769989
-0.018104109913110733,0.0,0.4133746027946472,-0.32142022252082825,0.0,-0.11005847901105881
-0.01308199018239975,0.0,0.4173896014690399,-0.3205460011959076,0.0,-0.10992556810379028
-0.00663028983399272,0.0,0.4204101264476776,-0.3175605535507202,0.0,-0.10947985202074051
-0.015178900212049484,0.0,0.4106106758117676,-0.31730538606643677,0.0,-0.10848420113325119
-0.020779330283403397,0.0,0.40723717212677,-0.31915897130966187,0.0,-0.10885754227638245
-0.009880609810352325,0.0,0.412854939699173,-0.315322607755661,0.0,-0.10741294920444489
-0.01804937981069088,0.0,0.4092121422290802,-0.3194395899772644,0.0,-0.10782197117805481
-0.024027980864048004,0.0,0.40760767459869385,-0.3229779601097107,0.0,-0.10865774750709534
-0.01723003014922142,0.0,0.41399717330932617,-0.3228021562099457,0.0,-0.1084250807762146
-0.023363860324025154,0.0,0.4104567766189575,-0.32490506768226624,0.0,-0.10891560465097427
-0.024830179288983345,0.0,0.4089919328689575,-0.32427340745925903,0.0,-0.10954876244068146
-0.03121793083846569,0.0,0.40386179089546204,-0.32555466890335083,0.0,-0.10952507704496384
-0.033733341842889786,0.0,0.40107661485671997,-0.32544973492622375,0.0,-0.10936028510332108
-0.03508042171597481,0.0,0.4000600278377533,-0.32555338740348816,0.0,-0.10958711057901382
-0.031645871698856354,0.0,0.4043433666229248,-0.32597607374191284,0.0,-0.11001318693161011
-0.03715869039297104,0.0,0.40314969420433044,-0.32864564657211304,0.0,-0.11166276782751083
-0.04014316946268082,0.0,0.40221884846687317,-0.33018842339515686,0.0,-0.1121736466884613
-0.03823614865541458,0.0,0.40580087900161743,-0.3310542702674866,0.0,-0.11298279464244843
-0.0350768007338047,0.0,0.40782859921455383,-0.3294416069984436,0.0,-0.11346383392810822
-0.031391408294439316,0.0,0.408088356256485,-0.32669368386268616,0.0,-0.11278615146875381
-0.034739941358566284,0.0,0.4051179587841034,-0.3263680040836334,0.0,-0.11348994076251984
-0.042161960154771805,0.0,0.3990411162376404,-0.3279661238193512,0.0,-0.11323698610067368
-0.043229930102825165,0.0,0.397196501493454,-0.3273887038230896,0.0,-0.11303775757551193
-0.029964299872517586,0.0,0.4044283330440521,-0.322772353887558,0.0,-0.11162028461694717
-0.02052374929189682,0.0,0.4115958511829376,-0.32132622599601746,0.0,-0.11079338937997818
-0.023576010018587112,0.0,0.40825125575065613,-0.32128483057022095,0.0,-0.11054245382547379
-0.023543860763311386,0.0,0.40691912174224854,-0.3204047381877899,0.0,-0.11005828529596329
-0.02618204988539219,0.0,0.40182262659072876,-0.3188374638557434,0.0,-0.10916724801063538
-0.021895650774240494,0.0,0.40096378326416016,-0.31564584374427795,0.0,-0.10721360146999359
-0.02067534066736698,0.0,0.400757759809494,-0.31574076414108276,0.0,-0.10569232702255249
-0.02520585060119629,0.0,0.3977428674697876,-0.31709933280944824,0.0,-0.10584938526153564
-0.021294649690389633,0.0,0.39783984422683716,-0.31444382667541504,0.0,-0.10469066351652145
-0.014619720168411732,0.0,0.40359824895858765,-0.31375470757484436,0.0,-0.10446324199438095
-0.00673753023147583,0.0,0.40663081407546997,-0.3102964758872986,0.0,-0.10307186841964722
0.0005114999949000776,0.0,0.4105174243450165,-0.3077419698238373,0.0,-0.10226396471261978
-0.019769880920648575,0.0,0.3970191776752472,-0.3126097023487091,0.0,-0.10417934507131577
-0.023015879094600677,0.0,0.3938925564289093,-0.3127174973487854,0.0,-0.10419093817472458
-0.021000230684876442,0.0,0.3940483629703522,-0.3112246096134186,0.0,-0.10382398217916489
-0.0117253502830863,0.0,0.4015906751155853,-0.30966195464134216,0.0,-0.10365407168865204
-0.014773559756577015,0.0,0.4004220962524414,-0.3109798729419708,0.0,-0.10421578586101532
-0.012498830445110798,0.0,0.3972128927707672,-0.30658799409866333,0.0,-0.10312371701002121
-0.02216658927500248,0.0,0.3845385015010834,-0.3043782711029053,0.0,-0.10232680290937424
-0.01729040965437889,0.0,0.3875543177127838,-0.3033238351345062,0.0,-0.10152089595794678
-0.029200479388237,0.0,0.37791988253593445,-0.30501917004585266,0.0,-0.10210117697715759
-0.014467259868979454,0.0,0.38710519671440125,-0.300952285528183,0.0,-0.10062018036842346
-0.016360949724912643,0.0,0.3860914707183838,-0.3019270896911621,0.0,-0.10052534937858582
-0.0011644799960777164,0.0,0.3931082487106323,-0.29625365138053894,0.0,-0.09801911562681198
0.003063139971345663,0.0,0.3967047333717346,-0.2962936460971832,0.0,-0.09734797477722168
0.008186830207705498,0.0,0.40173569321632385,-0.29683011770248413,0.0,-0.09671875834465027
0.030796390026807785,0.0,0.41422373056411743,-0.2879181206226349,0.0,-0.09550922363996506
0.037213828414678574,0.0,0.4208988547325134,-0.28824204206466675,0.0,-0.0954430103302002
0.06436505913734436,0.0,0.43874725699424744,-0.2815629541873932,0.0,-0.09281927347183228
0.05385091155767441,0.0,0.4347621202468872,-0.2868212163448334,0.0,-0.09409002214670181
0.07509061694145203,0.0,0.44686275720596313,-0.2802870273590088,0.0,-0.09148514270782471
0.07627581059932709,0.0,0.44565650820732117,-0.27893316745758057,0.0,-0.09044754505157471
0.10172870755195618,0.0,0.46186134219169617,-0.27199408411979675,0.0,-0.08813857287168503
0.12394285947084427,0.0,0.47111934423446655,-0.26215803623199463,0.0,-0.08501844108104706
0.13061130046844482,0.0,0.4695885181427002,-0.25641363859176636,0.0,-0.08256357163190842
0.13038934767246246,0.0,0.4688279628753662,-0.2560126483440399,0.0,-0.08242599666118622
0.1511354297399521,0.0,0.4787944257259369,-0.24942144751548767,0.0,-0.07823754847049713
0.19447468221187592,0.0,0.5040191411972046,-0.23557788133621216,0.0,-0.0739666074514389
0.20364049077033997,0.0,0.5102328062057495,-0.23305818438529968,0.0,-0.07353417575359344
0.20803941786289215,0.0,0.5072183609008789,-0.22741936147212982,0.0,-0.07175959646701813
0.20369845628738403,0.0,0.5039669871330261,-0.2282383292913437,0.0,-0.0720302164554596
0.19694863259792328,0.0,0.4996395409107208,-0.22983098030090332,0.0,-0.07285992056131363
0.21835112571716309,0.0,0.5115760564804077,-0.22223472595214844,0.0,-0.07099024206399918
-0.12688300013542175,-0.15000000596046448,0.09017766267061234,-0.039538297802209854,-0.01808471977710724,-0.009437731467187405
-0.0640663355588913,-0.15000000596046448,0.15966129302978516,-0.045994434505701065,-0.012828142382204533,-0.014904992654919624
0.28799518942832947,-0.04411764815449715,0.4586355686187744,-0.09239442646503448,-0.003721891902387142,-0.03040638193488121
0.33794349431991577,-0.027272727340459824,0.5199129581451416,-0.11427558958530426,-0.0021490328945219517,-0.03827216476202011
0.347106397151947,-0.02368421107530594,0.5360056757926941,-0.12232691794633865,-0.0018762708641588688,-0.04101189225912094
0.351159930229187,-0.02142857201397419,0.543509304523468,-0.1264791488647461,-0.001689515309408307,-0.04275212064385414
0.3432603180408478,-0.020999999716877937,0.549818754196167,-0.13629047572612762,-0.0017552898498252034,-0.04751266911625862
0.24395132064819336,-0.012804877944290638,0.5156136155128479,-0.19157403707504272,-0.0010879398323595524,-0.06619544327259064
0.25190871953964233,-0.011666666716337204,0.5239739418029785,-0.19273801147937775,-0.000991234090179205,-0.06666930019855499
0.2476218342781067,-0.010937499813735485,0.5214728713035583,-0.19481204450130463,-0.0009292819886468351,-0.06717219203710556
0.2620448172092438,-0.003000000026077032,0.5446032285690308,-0.20770861208438873,-0.0002444993588142097,-0.07160529494285583
0.24719509482383728,-0.001500000013038516,0.5406110286712646,-0.21678592264652252,-0.00016940486966632307,-0.0749606266617775
