time
389
392
392
391
392
399
390
391
393
411
399
390
391
395
404
391
396
390
393
396
390
395
396
390
401
393
391
391
396
392
396
391
392
397
398
405
394
404
397
395
401
403
390
388
390
390
392
391
400
392
395
398
388
390
396
400
396
392
390
396
404
402
399
393
391
395
394
400
393
401
393
394
395
402
394
397
389
389
393
398
401
393
398
393
